Title,Source Query,City,Verdict,Real Type (reference),Google Maps Link (verify)
eMotion Siargao,"dive shops in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,Error/flag,outdoor activity organiser,https://www.google.com/maps/place/eMotion+Siargao/data=!4m7!3m6!1s0x3303f745e94a24ab:0xdd92e13bd82ffcc0!8m2!3d9.8125662!4d126.1616268!16s%2Fg%2F11l29fl7bd!19sChIJqyRK6UX3AzMRwPwv2Dvhkt0?authuser=0&hl=en&rclk=1
Maximum Freediving Siargao,"dive shops in General Luna, Siargao & Surigao, Philippines",General Luna,Diving center,diving center,https://www.google.com/maps/place/Maximum+Freediving+Siargao/data=!4m7!3m6!1s0x3303f7f9f4ea38d7:0x241349a377640798!8m2!3d9.7950255!4d126.1563191!16s%2Fg%2F11tt6g5mzy!19sChIJ1zjq9Pn3AzMRmAdkd6NJEyQ?authuser=0&hl=en&rclk=1
Sea Serenity Diving Center,"dive shops in General Luna, Siargao & Surigao, Philippines",General Luna,Diving center,scuba instructor,https://www.google.com/maps/place/Sea+Serenity+Diving+Center/data=!4m7!3m6!1s0xad25b2f3dd4226ad:0x8edcb2ff38e2d121!8m2!3d9.8078864!4d126.160306!16s%2Fg%2F11mdp70yrk!19sChIJrSZC3fOyJa0RIdHiOP-y3I4?authuser=0&hl=en&rclk=1
Balaka,"dive shops in General Luna, Siargao & Surigao, Philippines",General Luna,Review,diving center,https://www.google.com/maps/place/Balaka/data=!4m7!3m6!1s0x3303f7e57a5fac13:0x73fe731d8f18e983!8m2!3d9.7810596!4d126.1562818!16s%2Fg%2F11fn623x_n!19sChIJE6xfeuX3AzMRg-kYjx1z_nM?authuser=0&hl=en&rclk=1
Siargao Mermaid,"dive shops in Siargao, Siargao & Surigao, Philippines",Siargao,Diving center,swimming school,https://www.google.com/maps/place/Siargao+Mermaid/data=!4m7!3m6!1s0x33040974b4d64db5:0xee533eb1bdb1045d!8m2!3d9.8102401!4d126.1649382!16s%2Fg%2F11h_10cnch!19sChIJtU3WtHQJBDMRXQSxvbE-U-4?authuser=0&hl=en&rclk=1
Kawhagan Island,"dive shops in Siargao, Siargao & Surigao, Philippines",Siargao,Review,beach,https://www.google.com/maps/place/Kawhagan+Island/data=!4m7!3m6!1s0x3306a9eab6b170f1:0xdc36da51d2731e0e!8m2!3d9.922332!4d125.8938092!16s%2Fg%2F11c1xdfq5w!19sChIJ8XCxtuqpBjMRDh5z0lHaNtw?authuser=0&hl=en&rclk=1
Isla Bucas Grande Resort,"guesthouses in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande,Resort,resort hotel,https://www.google.com/maps/place/Isla+Bucas+Grande+Resort/data=!4m7!3m6!1s0x3303e1c21f3026eb:0xe7d77ef2b8a24d5c!8m2!3d9.579786!4d125.931244!16s%2Fg%2F11c6qs68cm!19sChIJ6yYwH8LhAzMRXE2iuPJ-1-c?authuser=0&hl=en&rclk=1
Villa Harkrisha Resort,"guesthouses in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande,Resort,resort hotel,https://www.google.com/maps/place/Villa+Harkrisha+Resort/data=!4m7!3m6!1s0x3303e3b610d20981:0xdb9ca1301c2d4df9!8m2!3d9.6148998!4d125.9652514!16s%2Fg%2F11byz4_k4l!19sChIJgQnSELbjAzMR-U0tHDChnNs?authuser=0&hl=en&rclk=1
Cloud 9 Surfing Area,"guesthouses in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,Beach ,tourist attraction,https://www.google.com/maps/place/Cloud+9+Surfing+Area/data=!4m7!3m6!1s0x330409ed5e3da33d:0xd2bbc5516a66d5cb!8m2!3d9.8136625!4d126.1651406!16s%2Fg%2F11g6xrwdmp!19sChIJPaM9Xu0JBDMRy9VmalHFu9I?authuser=0&hl=en&rclk=1
Hiraya surf hostel,"guesthouses in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,hostel,(blank — judge by name/map),https://www.google.com/maps/place/Hiraya+surf+hostel/data=!4m11!3m10!1s0x330409256e921b2f:0x5bf71bd7ed06a0e1!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8096877!4d126.1625649!16s%2Fg%2F11h7bbvygj!19sChIJLxuSbiUJBDMR4aAG7dcb91s?authuser=0&hl=en&rclk=1
Punta Punta Surf Retreat,"guesthouses in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,guesthouses,(blank — judge by name/map),https://www.google.com/maps/place/Punta+Punta+Surf+Retreat/data=!4m11!3m10!1s0x3304091ee1308d73:0x1f0cbbf9123550d7!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8186382!4d126.1503355!16s%2Fg%2F11j0wfz1s_!19sChIJc40w4R4JBDMR11A1Evm7DB8?authuser=0&hl=en&rclk=1
Coco Pod Siargao,"guesthouses in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,guesthouses,(blank — judge by name/map),https://www.google.com/maps/place/Coco+Pod+Siargao/data=!4m11!3m10!1s0x330409dc8c7bdcb5:0x18a3a2946d7dcee4!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8022488!4d126.1590397!16s%2Fg%2F11gxsfrltz!19sChIJtdx7jNwJBDMR5M59bZSioxg?authuser=0&hl=en&rclk=1
Privada Villa Siargao,"guesthouses in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,guesthouses,(blank — judge by name/map),https://www.google.com/maps/place/Privada+Villa+Siargao/data=!4m11!3m10!1s0x33040919457cbd11:0xfc3ab33e74389ce1!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.807021!4d126.162299!16s%2Fg%2F11sv2l6c4g!19sChIJEb18RRkJBDMR4Zw4dD6zOvw?authuser=0&hl=en&rclk=1
SEACLUB Siargao,"guesthouses in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,guesthouses,(blank — judge by name/map),https://www.google.com/maps/place/SEACLUB+Siargao/data=!4m11!3m10!1s0x330409047ff886f7:0x5e72ccc027daf1e9!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8092203!4d126.1620049!16s%2Fg%2F11p56f_dg9!19sChIJ94b4fwQJBDMR6fHaJ8DMcl4?authuser=0&hl=en&rclk=1
Siargao Serene Guest House,"guesthouses in General Luna, Siargao & Surigao, Philippines",General Luna,guesthouses,hotel,https://www.google.com/maps/place/Siargao+Serene+Guest+House/data=!4m7!3m6!1s0x3303f7000919c00f:0xc52d154dab77f1c0!8m2!3d9.7916686!4d126.154599!16s%2Fg%2F11ysfjhrfk!19sChIJD8AZCQD3AzMRwPF3q00VLcU?authuser=0&hl=en&rclk=1
Mango Tango Villas,"guesthouses in General Luna, Siargao & Surigao, Philippines",General Luna,guesthouses,(blank — judge by name/map),https://www.google.com/maps/place/Mango+Tango+Villas/data=!4m11!3m10!1s0x3304094802d6cb5f:0xf86df9c555fe3b24!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8012955!4d126.1560692!16s%2Fg%2F11rxj90l7w!19sChIJX8vWAkgJBDMRJDv-VcX5bfg?authuser=0&hl=en&rclk=1
Elena Hostel & Hostel Cafe,"hostels in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande,guesthouses,(blank — judge by name/map),https://www.google.com/maps/place/Elena+Hostel+%26+Hostel+Cafe/data=!4m11!3m10!1s0x3303e3277bd87a45:0x631380d628979ccf!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.6209677!4d125.9661155!16s%2Fg%2F11h7cl37cy!19sChIJRXrYeyfjAzMRz5yXKNaAE2M?authuser=0&hl=en&rclk=1
Bearby's Homestay Siargao,"hostels in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,Hostel,(blank — judge by name/map),https://www.google.com/maps/place/Bearby%27s+Homestay+Siargao/data=!4m11!3m10!1s0x330409b09ce0c7fd:0xe82e1ba9e8b33ea6!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8100432!4d126.1596492!16s%2Fg%2F11gmb9qdx2!19sChIJ_cfgnLAJBDMRpj6z6KkbLug?authuser=0&hl=en&rclk=1
Higala Hostel,"hostels in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,hostel,(blank — judge by name/map),https://www.google.com/maps/place/Higala+Hostel/data=!4m11!3m10!1s0x3304094e8798e725:0x4da242dba3624bc9!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8090807!4d126.160547!16s%2Fg%2F11fd_n9hcx!19sChIJJeeYh04JBDMRyUtio9tCok0?authuser=0&hl=en&rclk=1
Dawn Patrol Siargao,"hostels in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,Review,(blank — judge by name/map),https://www.google.com/maps/place/Dawn+Patrol+Siargao/data=!4m11!3m10!1s0x330409b79d2915e1:0xc5b43919bb660675!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8022499!4d126.1590405!16s%2Fg%2F11svhyn_qj!19sChIJ4RUpnbcJBDMRdQZmuxk5tMU?authuser=0&hl=en&rclk=1
