Title,City,Filed As,Verdict,Action,Re-filed To,Reason,Note
Viento Del Mar - Siargao Resort - Surf & Kitesurf School,General Luna,nightlife,REVIEW,keep,nightlife,no rule for amenity 'nightlife',uncertain — kept by default
Tigasao Coast,Pacifico,things to do,REVIEW,keep,things to do,no rule for amenity 'things to do',uncertain — kept by default
"Katre Hostel, Pacifico, Siargao",Siargao,hostels,REVIEW,keep,hostels,no rule for amenity 'hostels',uncertain — kept by default
Hotel Tavern Surigao,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Lix Hotel,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Pier La Casa Homestay Building,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Mt. Bagarabon Beach Hotel,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Almont Beach Resort,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
The Grande Suites,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Surigao Dream Beach Resort,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
The Annex Hotel Tavern,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Pebble Peninsula Resort,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Surigao Royal Regency Suites,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
M and M Apartment in Surigao City,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
MW UrbanTerrace 1,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
ISLAND VIEW SUITES,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Eco Pension,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Manatad Transient House,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
D & G Transient House,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Pintuyan Dive Resort,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Philippine Gateway Hotel,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Parkway Hotel,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Bay View Inn,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Casa Domingo de Surigao Hotel & Suites,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
One Hive Hotel and Suites,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Miwa Beach Resort,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Villa Torre Suites,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Fiesta Dive Resort,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Hotel Solibao,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Le Chard PlaceTourist Inn,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
JCV Rooms,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Miami City Suites,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Vmo Hotel,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
E.Y. Miner Suites - Borromeo,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
La Casa Sofia,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Kahayahay Inn,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Surigao tourist inn annex 2,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Green Pod - Surigao City,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Surigao Tourist Inn,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Leila Pension House,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Mt. Carmel Spring Resort,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
EY Suites,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Kasili Lakeside Resort and Hotel,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Thj Homes,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
The Barnhaus @ Perral's Waterplaza,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Metro Pension Plaza,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
"Azure,Tranquility Bay Beach",Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Cape Seaductive,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
ROEXCIN Tourist Inn,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Jmalls Island Tourist Inn,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Rose Pink Lodge,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
CM TOURIST INN,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
La Guerta Lodging House - Uno,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
La - Guerta Lodging House - Tres,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Jannex Pensionne,Siargao,hotels,REVIEW,keep,hotels,no rule for amenity 'hotels',uncertain — kept by default
Freedom Society,Siargao,resorts,REVIEW,keep,resorts,no rule for amenity 'resorts',uncertain — kept by default
Paasaw Living Siargao,Siargao,resorts,REVIEW,keep,resorts,no rule for amenity 'resorts',uncertain — kept by default
Surfing Temple,Siargao,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
Coleto Siargao,Siargao,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
Mangrove Breeze Country Inn by RedDoorz,Siargao,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
Nog's Homestay,Siargao,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
Islandersville Pension House 2.0,Siargao,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
IAO Boutique Hotel,Siargao,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
CRIS & MAR HOMESTAY,Siargao,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
RedDoorz @ Kopinos Tourist Inn Hotel,Siargao,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
Querencia Siargao,Siargao,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
Izustarri,Siargao,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
Estefania Homestay,Siargao,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
Bakhaw Bed and Breakfast,Siargao,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
Mariden Resort & Homestay Siargao,Siargao,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
Pacifico River House,Siargao,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
ZM Residence Siargao,Siargao,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
Kalani River Villas,Siargao,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
Byahero siargao,Siargao,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
La Résidence Siargao,Siargao,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
Casa Felipe Guesthouse Siargao,Siargao,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
La Finca Boutique Hostel,Siargao,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Weeroona Huts Homestay Pacifico,Siargao,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Mannaka Haven Hotel - Siargao,Siargao,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
RSK Beach and Accommodation,Siargao,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
RedDoorz @ Lao Singuan Homestay,Siargao,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Bamboo Surf Beach Resort,Siargao,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Yapak Beach Villas Siargao,Siargao,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
Dèjà Homestay,Siargao,guesthouses,REVIEW,keep,guesthouses,no rule for amenity 'guesthouses',uncertain — kept by default
El Carabao Siargao,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
El Chapo’s Siargao,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
OPPA Kitchen,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Basta Siargao,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Tradicion Siargao,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Phin & Pho Siargao,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Hangout Alley Siargao,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
RASA Siargao: Malaysian Kitchen,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Swell Cafe and Bar Pacifico Siargao,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Fantasia Siargao,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Isla Comida Siargao,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
HAMÁL iao,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Roots,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Paaso Grill and Restaurant,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Matahari Siargao,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Lebron & Dwayne Tapsihan,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Curry Spoon Indian Cuisine Siargao,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Trogon's Perch Resort,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Ad Astra Cafe Siargao,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Kabayan-Siargao,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Cabanas Grill and Restaurant - Siargao,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Canijugan Peak Retreat and Campsite,Siargao,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Manu Brew Siargao,Siargao,cafes,REVIEW,keep,cafes,no rule for amenity 'cafes',uncertain — kept by default
Siargao Human Drones Mountain View,Siargao,things to do,REVIEW,keep,things to do,no rule for amenity 'things to do',uncertain — kept by default
Siargao Firefly watching,Siargao,things to do,REVIEW,keep,things to do,no rule for amenity 'things to do',uncertain — kept by default
